Município;IBGE - Código;IBGE - Gentílico;IBGE - Prefeito [2025];IBGE - Área Territorial - km² [2025];IBGE - População no último censo - pessoas [2022];IBGE - Densidade demográfica - hab/km² [2022];IBGE - População estimada - pessoas [2026];IBGE - Escolarização 6 a 14 anos - % [2022];IBGE - IDHM [2010];IBGE - Mortalidade infantil - óbitos por mil nascidos vivos [2025];IBGE - Total de receitas brutas realizadas - R$ [2025];IBGE - Total de despesas brutas empenhadas - R$ [2025];IBGE - PIB per capita - R$ [2023];TAXA LESÃO CORPORAL;TAXA AMEAÇA;Possui Delegacia da Mulher?;Possui CAPS?;Quantidade de CAPS;Modalidades de CAPS;Regional de Saúde;Macrorregional de Saúde;LESFEM - Feminicídios consumados 2025;LESFEM - Tentativas de feminicídio 2025;LESFEM - Total de registros 2025;LESFEM - Registros fonte Imprensa 2025;LESFEM - Registros fonte SINESP 2025;SENASP - Feminicídios consumados 2025;SENASP - Tentativas de feminicídio 2025;SENASP - Total vítimas feminicídio/tentativa 2025
MIRADOR;4115903;miradorense;FABIANO MARCOS DA SILVA TRAVAIN;222,016;2238;10,09;2243;100;0,68;-;39378225,73;29714290,27;79981,83;88,61;177,23;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
JUNDIAI DO SUL;4112900;jundiaiense-do-sul;PAULO ROBERTO PEDRO;316,748;3333;10,39;3366;97,77;0,688;-;43601630,5;37219903,41;47213,06;147,31;171,86;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;0;0;0;0;0;0;0;0
IGUATU;4110052;iguatuense;MARTINHO LUCAS DE GODOY;106,937;2144;20,05;2150;97,91;0,703;-;43366277,26;37134591,56;44212,2;242,33;323,10;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
GUAPOREMA;4109104;guaporemense;GILBERTO CASTIGLIONI;200,407;2191;10,89;2208;100;0,719;-;42764931,76;37167877,04;48463,12;173,71;57,90;Não;Não;0;;13ª Regional de Saúde - Cianorte;Noroeste;0;0;0;0;0;0;0;0
FLORIDA;4108106;floridense;ANTONIO EMERSON SETTE;83,046;2652;31,93;2718;97,47;0,732;-;39175340,42;29719791,08;38182,92;93,01;124,01;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
FAROL;4107553;farolense;OCLECIO DE FREITAS MENESES;289,232;3039;10,51;2968;99,15;0,715;58,82;51652420,13;47075493,39;84118,61;241,94;201,61;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;1;1;1;0;0;0;0
CAFEARA;4103404;cafearense;ELTON FÁBIO LAZARETTI;184,255;2627;14,14;2644;98,89;0,693;-;45045970;38389824,64;46262,76;123,10;205,17;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;0;0;0;0;0;0;0
BOA ESPERANCA DO IGUACU;4103024;boaesperencense;GIVANILDO TRUMI;152,252;2455;16,17;2402;100;0,7;-;49394866,6;46771663,96;67222,53;156,54;78,27;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
BOA ESPERANCA;4103008;boa-esperansense;JOEL CELSO BUSCARIOL;301,131;4558;15,06;4595;96,74;0,72;-;70151298,38;57722045,11;75237,05;139,11;162,30;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;1;1;1;0;0;0;0
BELA VISTA DA CAROBA;4102752;bela-vistense;GELSON MAFFI;148,859;4031;27,22;4128;98,78;0,681;-;50297803,82;40392253,48;31281,27;0,00;371,00;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
BARRA DO JACARE;4102703;barrense;LUIZ FABIANO ZANATTA;115,855;2814;24,29;2877;100;0,744;34,48;45023064,11;35906315,08;66502,51;125,08;125,08;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;0;0;0;0;0;0;0;0
SAO JORGE DO PATROCINIO;4125357;patrocinense;RONALDO TINTI;404,018;6504;16;6718;98,46;0,676;31,75;82566824,15;67213490,75;28172,13;80,70;112,98;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
SANTO ANTONIO DO CAIUA;4124202;santo-antoniense;JOSÉ GABRIEL GONÇALVES FACHIANO;221,391;2493;11,38;2460;100;0,696;-;41448331,14;34811612,44;28089,38;80,57;80,57;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
NOVA ESPERANCA DO SUDOESTE;4116950;novaesperancense;JAIME DA SILVA STANG;207,849;5597;26,85;5814;97,79;0,714;-;71504914,27;78007782,95;35513,61;61,22;208,15;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;1;1;1;0;0;1;1
MATO RICO;4115739;mato-riquense;EDELIR DE JESUS RIBEIRO DA SILVA;402,533;3267;8,28;3216;100;0,632;-;60508262,72;49897310,18;48162,76;89,05;124,67;Não;Não;0;;22ª Regional de Saúde - Ivaiporã;Norte;0;1;1;0;1;0;1;1
LIDIANOPOLIS;4113429;lidianopolitano;APARECIDO BUZATO;151,779;3938;26;3985;97,06;0,68;20,41;47527290;39834648,85;37287,16;121,92;146,31;Não;Não;0;;22ª Regional de Saúde - Ivaiporã;Norte;0;0;0;0;0;0;0;0
ITAMBE;4111100;itambenense;ANANIAS SOARES VIEIRA;244,495;6111;25,06;6236;98,9;0,746;17,54;55288690,71;48113268,99;45168,14;123,67;296,81;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
DOUTOR ULYSSES;4128633;ulyssense;ESEQUIEL BESTEL JUNIOR;779,628;5697;7,33;5742;97,34;0,546;-;53158735,23;43064455,85;20387,45;164,85;98,91;Não;Não;0;;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
ALTO PARAISO;4128625;altoparaisense;LUIZ ELISEU DOS SANTOS;967,763;3055;3,16;3058;100;0,678;-;57483200,99;50342520,54;48366,68;174,46;174,46;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
VIRMOND;4128658;virmondense;FERNANDO MIERZVA;248,583;3811;15,3;3818;100;0,722;18,18;54111871,89;56050347,93;63389,93;98,45;246,12;Não;Não;0;;5ª Regional de Saúde - Guarapuava;Leste;0;0;0;0;0;0;0;0
SAO JOSE DAS PALMEIRAS;4125456;são-joseliense;FRANCO MARIA ALVES CABRAL;182,627;3957;21,69;4039;100;0,713;-;41617217,77;41193252,84;27716,37;58,92;132,57;Não;Não;0;;20ª Regional de Saúde - Toledo;Oeste;1;1;2;1;1;1;1;2
PEROLA DO OESTE;4119004;pérolatense;EDSOM LUIZ BAGETTI;204,331;6221;30,31;6184;100;0,726;-;71425736,99;62308949,28;43479,73;151,57;227,36;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
ESPERANCA NOVA;4107520;esperançanovense;EVERTON BARBIERI;141,317;1849;13,09;1844;100;0,689;-;54623197,06;44780422,42;40683,83;227,92;113,96;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
ALTAMIRA DO PARANA;4100459;altamirense;ELZA APARECIDA DA SILVA;386,952;3590;9,28;3452;99,6;0,667;20;52928382,9;47137766,39;32175,22;47,48;118,69;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
UNIFLOR;4128302;uniflorense;MAYCON RODRIGO RODRIGUES DE SOUZA;95,731;2136;22,53;2086;98,34;0,72;50;40348090,54;36224170,7;61640,73;86,53;115,37;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
RIO BRANCO DO IVAI;4122172;riobranquense;PEDRO TABORDA DESPLANCHES;378,04;3808;10,12;3835;99,45;0,64;21,28;51422121,99;45126303,07;45876,97;128,92;386,76;Não;Não;0;;22ª Regional de Saúde - Ivaiporã;Norte;0;1;1;1;0;0;0;0
PORTO BARREIRO;4120150;porto barreirense;EMANOEL VANDERLEI VOLFF;363,547;3110;8,61;3023;98,86;0,688;-;71285919,83;56224736,37;54394,82;52,07;86,79;Não;Não;0;;5ª Regional de Saúde - Guarapuava;Leste;0;0;0;0;0;0;0;0
NOVO ITACOLOMI;4117297;itacolomiense;JOAO PEDRO MAGON;159,639;3125;19,36;3246;100;0,71;-;50811013,28;42294314,27;39975,22;51,98;51,98;Não;Não;0;;16ª Regional de Saúde - Apucarana;Norte;0;0;0;0;0;0;0;0
MIRASELVA;4116000;miraselvano;JOAO MARCOS FERRER;90,572;1966;21,77;2024;98,08;0,748;-;37131008,05;30382914,2;35296,98;94,58;63,05;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;0;0;0;0;0;0;0
JANIOPOLIS;4112207;janiopolitano;EIDES GUEDES;337,91;5870;17,49;5766;99,62;0,696;-;67392403,17;62444379,94;57397,87;89,69;179,37;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
IVATE;4111555;ivateense;DENILSON VAGLIERI PREVITAL;410,221;6831;16,65;6746;98,2;0,706;-;56666706,08;46241627,49;41052,52;63,90;276,89;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
TAMBOARA;4126702;tamboarense;GIOVANE MONTEIRO DA SILVA;193,316;4880;25,24;4999;97,05;0,731;-;52611111,03;51917676,25;37734,73;55,26;248,69;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
SANTA INES;4123600;santa-ineense;ADENILSON PACHECO;156,422;1748;11,14;1739;100;0,717;-;20798124,71;16035425,7;48715,71;70,05;70,05;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
RANCHO ALEGRE;4121307;alegrense;FLAVIO HENRIQUE PEREIRA;167,646;3512;20,95;3445;99,41;0,707;-;40479729,15;31519720,13;56141,77;43,52;130,55;Não;Não;0;;18ª Regional de Saúde - Cornélio Procópio;Norte;0;0;0;0;0;0;0;0
NOVA ALIANCA DO IVAI;4116505;ivaiense;ULISSES DE SOUZA;130,614;1323;10,08;1316;98,65;0,717;-;36337514,34;29811869,12;53846,04;0,00;371,00;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
DIAMANTE DO SUL;4107124;sul-diamantino;DARCI TIRELLI;347,233;3171;9,13;3126;100;0,608;-;45914158,48;40011847,94;27043,14;55,99;167,97;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
CRUZMALTINA;4106852;cruzmaltinense;MAURÍCIO BUENO DE CAMARGO;306,237;2892;9,26;2854;100;0,666;-;50400476,73;48670148,66;65430,04;41,91;167,64;Não;Não;0;;22ª Regional de Saúde - Ivaiporã;Norte;0;0;0;0;0;0;0;0
SAO MANOEL DO PARANA;4125555;são manoelense;VITOR HUGO RODRIGUES;95,381;2138;22,42;2178;92,22;0,725;-;41885385,29;35892590,25;38835,58;31,86;31,86;Não;Não;0;;13ª Regional de Saúde - Cianorte;Noroeste;0;0;0;0;0;0;0;0
SANTO ANTONIO DO PARAISO;4124301;santo-antoniense;DEVANIR MARTINELLI;162,647;2125;12,72;2070;100;0,716;24,39;40312321,9;39964959,5;54023,07;19,99;59,98;Não;Não;0;;18ª Regional de Saúde - Cornélio Procópio;Norte;0;0;0;0;0;0;0;0
PITANGUEIRAS;4119657;pitangueirense;SAMUEL TEIXEIRA;123,081;3046;24,72;3155;100;0,71;-;51914016,87;45111502,45;52715,86;14,82;44,47;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;0;0;0;0;0;0;0
Ivatuba;4111605;ivatubense;VARLEI VERCEZI;96,427;2708;28,02;2666;99,3;0,766;37,04;48855067,1;37985737,52;61748,43;0,00;0,00;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
Ourizona;4117404;ourizonense;JANILSON MARCOS DONASAN;176,457;3187;18,06;3181;99,37;0,72;37,04;51544615,07;46185971,07;58541,87;0,00;0,00;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
